SID,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
11,32,2,2,1,1,1508.43,nonwex2_3.png
11,33,2,2,2,1,1128.66,nonwin4.png
11,34,2,3,1,1,1412.92,nonwex7.png
11,35,1,3,1,1,1081.19,nonwex1.png
11,36,2,1,2,1,997.44,nonwin2.png
11,37,2,1,1,1,1369.7,nonwin1.png
11,38,1,3,1,1,1645.99,nonwin5.png
11,39,2,4,2,1,1434.24,nonwex10.png
11,40,1,1,1,1,1766.52,nonwex2_10.png
11,41,1,3,1,1,1250.53,nonwex11.png
11,42,2,3,0,0,0,nonwex2_12.png
11,43,1,2,1,1,1123.22,nonwex6.png
11,44,2,3,2,1,1111.4,nonwin2_11.png
11,45,1,3,2,1,1811.72,nonwin2_10.png
11,46,1,1,1,1,959.93,nonwex2_6.png
11,47,2,1,2,1,2108.26,nonwin9.png
11,48,1,4,2,1,880.48,nonwin3.png
12,1,1,4,1,1,1293.93,nonwin10.png
12,2,2,4,1,1,2298.26,nonwin2_1.png
12,3,1,2,1,1,1702.63,nonwex7.png
12,4,1,1,2,1,2066.97,nonwin3.png
12,5,1,2,1,1,2231.31,nonwin2_10.png
12,6,1,4,2,1,2595.75,nonwin11.png
12,7,2,1,1,1,863.98,nonwin2_2.png
12,8,1,3,2,1,1260.41,nonwex2_2.png
12,9,1,3,1,1,1920.84,nonwin2_12.png
12,10,2,2,2,1,1844.91,nonwin2_7.png
12,11,1,1,1,1,2137.51,nonwin4.png
12,12,2,4,1,1,2037.91,nonwex3.png
12,13,1,4,2,1,2370.29,nonwex10.png
